step,total_queue,delay,throughput,controller
34,882.5975207031449,24987.182187674633,1869.1802570746327,fixed_time
35,887.5975207031449,25874.779708377777,1965.1802570746327,fixed_time
36,890.1039983742317,26764.883706752007,2040.5088655184675,fixed_time
37,935.4879845551999,27700.371691307206,2085.124879337499,fixed_time
38,968.5990956663111,28668.970786973518,2121.0137682263876,fixed_time
39,992.3196836525598,29661.290470626078,2157.293180240139,fixed_time
40,936.3196836525598,30597.61015427864,2253.293180240139,fixed_time
41,901.925384003116,31499.535538281754,2349.293180240139,fixed_time
42,872.925384003116,32372.46092228487,2445.293180240139,fixed_time
43,833.925384003116,33206.38630628798,2541.293180240139,fixed_time
44,813.2587173364492,34019.645023624435,2613.9598469068055,fixed_time
45,834.21533716819,34853.86036079263,2651.003227075065,fixed_time
46,854.5635175557275,35708.42387834835,2679.6550466875274,fixed_time
47,869.8926330068206,36578.31651135517,2701.325931236434,fixed_time
48,826.8926330068207,37405.209144361994,2797.325931236434,fixed_time
49,803.8926330068205,38209.101777368815,2893.325931236434,fixed_time
50,768.8926330068208,38977.994410375635,2989.325931236434,fixed_time
51,747.3519245054691,39725.346334881106,3083.866639737785,fixed_time
52,752.1944564139973,40477.540791295105,3143.5852914789943,fixed_time
53,761.3055675251084,41238.846358820214,3179.474180367883,fixed_time
54,772.6389008584417,42011.48525967866,3214.1408470345496,fixed_time
55,803.8395277308115,42815.32478740947,3238.9402201621797,fixed_time
56,753.8395277308115,43569.164315140275,3334.9402201621797,fixed_time
57,708.8395277308115,44278.00384287108,3430.9402201621797,fixed_time
58,681.8395277308114,44959.84337060189,3526.9402201621797,fixed_time
59,631.1728610641446,45591.016231666035,3622.606886828846,fixed_time
60,645.5454192924732,46236.56165095851,3668.2343286005175,fixed_time
61,674.1056644038255,46910.667315362334,3684.143336373723,fixed_time
62,710.7772883595047,47621.44460372184,3694.471712418044,fixed_time
63,735.6661772483936,48357.11078097023,3703.582823529155,fixed_time
64,668.6661772483936,49025.77695821862,3799.582823529155,fixed_time
65,623.6661772483938,49649.443135467016,3895.582823529155,fixed_time
66,592.637832172922,50242.08096763994,3980.611168604627,fixed_time
67,580.8600543951442,50822.941022035084,4048.388946382405,fixed_time
68,579.8600543951442,51402.80107643023,4097.388946382405,fixed_time
69,602.943427510571,52005.744503940805,4127.305573266978,fixed_time
70,632.4047184200358,52638.149222360844,4150.844282357513,fixed_time
71,670.5085331488432,53308.65775550969,4167.740467628706,fixed_time
72,618.5085331488432,53927.16628865853,4263.740467628706,fixed_time
73,568.5085331488432,54495.67482180738,4359.740467628706,fixed_time
74,518.5085331488432,55014.18335495622,4455.740467628706,fixed_time
75,487.703017375381,55501.8863723316,4544.545983402168,fixed_time
76,510.919508986945,56012.80588131855,4570.329491790604,fixed_time
77,545.2630919350285,56558.068973253576,4585.985908842521,fixed_time
78,573.0779067498435,57131.14688000342,4593.171094027706,fixed_time
79,615.4853141572507,57746.63219416067,4599.763686620298,fixed_time
80,554.1137277231632,58300.745921883834,4695.135273054386,fixed_time
81,515.113727723163,58815.859649606995,4783.135273054386,fixed_time
82,480.50716803326844,59296.366817640264,4862.74183274428,fixed_time
83,459.58365162960587,59755.95046926987,4920.665349147943,fixed_time
84,476.7532291210541,60232.70369839092,4944.495771656495,fixed_time
85,521.503892503702,60754.20759089462,4960.745108273847,fixed_time
86,554.689077688887,61308.89666858351,4971.559923088662,fixed_time
87,580.0964850962945,61888.9931536798,4980.152515681254,fixed_time
88,523.0964850962944,62412.089638776095,5076.152515681254,fixed_time
89,466.09648509629443,62878.18612387239,5172.152515681254,fixed_time
90,416.0964850962943,63294.28260896868,5268.152515681254,fixed_time
91,381.37156194456884,63675.65417091325,5339.877438832979,fixed_time
92,398.07658378069044,64073.73075469394,5360.1724169968575,fixed_time
93,429.41735203127075,64503.14810672521,5367.831648746277,fixed_time
94,454.8247594386781,64957.97286616389,5375.424241338869,fixed_time
95,501.82475943867814,65459.797625602565,5384.424241338869,fixed_time
96,454.8247594386781,65914.62238504125,5475.424241338869,fixed_time
97,418.29070652396763,66332.91309156522,5559.95829425358,fixed_time
98,373.311937649778,66706.225029215,5636.93706312777,fixed_time
