step,controller,intersection,queue
19,fixed_time,n2_3,38.197530864197525
19,fixed_time,n3_0,0.0
19,fixed_time,n3_1,30.888888888888893
19,fixed_time,n3_2,15.753086419753084
19,fixed_time,n3_3,0.0
20,fixed_time,n0_0,0.0
20,fixed_time,n0_1,5.390946502057614
20,fixed_time,n0_2,8.0
20,fixed_time,n0_3,0.0
20,fixed_time,n1_0,80.0
20,fixed_time,n1_1,154.38271604938274
20,fixed_time,n1_2,118.85185185185185
20,fixed_time,n1_3,46.2962962962963
20,fixed_time,n2_0,80.0
20,fixed_time,n2_1,171.79012345679013
20,fixed_time,n2_2,97.66666666666666
20,fixed_time,n2_3,43.53086419753086
20,fixed_time,n3_0,0.0
20,fixed_time,n3_1,21.2880658436214
20,fixed_time,n3_2,8.666666666666666
20,fixed_time,n3_3,0.0
21,fixed_time,n0_0,0.0
21,fixed_time,n0_1,6.117969821673526
21,fixed_time,n0_2,7.666666666666666
21,fixed_time,n0_3,0.0
21,fixed_time,n1_0,80.0
21,fixed_time,n1_1,162.61316872427983
21,fixed_time,n1_2,108.18518518518519
21,fixed_time,n1_3,54.2962962962963
21,fixed_time,n2_0,80.0
21,fixed_time,n2_1,182.38134430727024
21,fixed_time,n2_2,111.46364883401921
21,fixed_time,n2_3,48.864197530864196
21,fixed_time,n3_0,0.0
21,fixed_time,n3_1,10.596707818930039
21,fixed_time,n3_2,8.333333333333332
21,fixed_time,n3_3,0.0
22,fixed_time,n0_0,0.0
22,fixed_time,n0_1,7.2615454961133965
22,fixed_time,n0_2,2.6666666666666665
22,fixed_time,n0_3,0.0
22,fixed_time,n1_0,80.0
22,fixed_time,n1_1,161.13443072702333
22,fixed_time,n1_2,111.2962962962963
22,fixed_time,n1_3,60.96296296296296
22,fixed_time,n2_0,80.0
22,fixed_time,n2_1,192.05532693187013
22,fixed_time,n2_2,119.65752171925011
22,fixed_time,n2_3,54.08641975308642
22,fixed_time,n3_0,0.0
22,fixed_time,n3_1,10.46044810242341
22,fixed_time,n3_2,8.222222222222221
22,fixed_time,n3_3,0.0
23,fixed_time,n0_0,0.0
23,fixed_time,n0_1,5.531626276482243
23,fixed_time,n0_2,2.333333333333333
23,fixed_time,n0_3,0.0
23,fixed_time,n1_0,80.0
23,fixed_time,n1_1,165.7896662094193
23,fixed_time,n1_2,121.62962962962965
23,fixed_time,n1_3,68.29629629629629
23,fixed_time,n2_0,80.0
23,fixed_time,n2_1,189.66117969821673
23,fixed_time,n2_2,133.6241426611797
23,fixed_time,n2_3,57.19753086419753
23,fixed_time,n3_0,0.0
23,fixed_time,n3_1,10.685108977290046
23,fixed_time,n3_2,5.444444444444445
23,fixed_time,n3_3,0.0
24,fixed_time,n0_0,0.0
24,fixed_time,n0_1,21.531626276482243
24,fixed_time,n0_2,18.333333333333332
24,fixed_time,n0_3,0.0
24,fixed_time,n1_0,64.0
24,fixed_time,n1_1,168.30818472793783
24,fixed_time,n1_2,122.4074074074074
24,fixed_time,n1_3,56.0
24,fixed_time,n2_0,64.0
24,fixed_time,n2_1,161.61865569272976
24,fixed_time,n2_2,117.66666666666666
24,fixed_time,n2_3,49.19753086419753
24,fixed_time,n3_0,0.0
24,fixed_time,n3_1,18.685108977290046
24,fixed_time,n3_2,13.444444444444445
24,fixed_time,n3_3,0.0
25,fixed_time,n0_0,0.0
25,fixed_time,n0_1,37.53162627648224
25,fixed_time,n0_2,34.33333333333333
25,fixed_time,n0_3,0.0
25,fixed_time,n1_0,48.0
25,fixed_time,n1_1,163.30818472793783
25,fixed_time,n1_2,134.4074074074074
25,fixed_time,n1_3,48.0
25,fixed_time,n2_0,48.0
25,fixed_time,n2_1,146.61865569272976
25,fixed_time,n2_2,114.66666666666666
25,fixed_time,n2_3,41.19753086419753
25,fixed_time,n3_0,0.0
25,fixed_time,n3_1,26.685108977290046
25,fixed_time,n3_2,21.444444444444443
25,fixed_time,n3_3,0.0
26,fixed_time,n0_0,0.0
26,fixed_time,n0_1,53.53162627648224
26,fixed_time,n0_2,50.33333333333333
26,fixed_time,n0_3,0.0
26,fixed_time,n1_0,32.0
26,fixed_time,n1_1,175.30818472793783
26,fixed_time,n1_2,148.4074074074074
26,fixed_time,n1_3,40.0
26,fixed_time,n2_0,32.0
26,fixed_time,n2_1,143.61865569272976
26,fixed_time,n2_2,104.66666666666666
26,fixed_time,n2_3,33.19753086419753
26,fixed_time,n3_0,0.0
26,fixed_time,n3_1,34.68510897729004
26,fixed_time,n3_2,29.444444444444443
26,fixed_time,n3_3,0.0
27,fixed_time,n0_0,0.0
27,fixed_time,n0_1,69.53162627648224
27,fixed_time,n0_2,66.33333333333333
27,fixed_time,n0_3,0.0
27,fixed_time,n1_0,16.0
27,fixed_time,n1_1,177.30818472793783
27,fixed_time,n1_2,148.4074074074074
27,fixed_time,n1_3,32.0
27,fixed_time,n2_0,16.0
27,fixed_time,n2_1,126.61865569272976
27,fixed_time,n2_2,101.66666666666666
27,fixed_time,n2_3,21.19753086419753
27,fixed_time,n3_0,0.0
27,fixed_time,n3_1,42.68510897729004
27,fixed_time,n3_2,37.44444444444444
27,fixed_time,n3_3,0.0
28,fixed_time,n0_0,0.0
28,fixed_time,n0_1,80.0
28,fixed_time,n0_2,80.0
28,fixed_time,n0_3,0.0
28,fixed_time,n1_0,8.0
28,fixed_time,n1_1,186.29477213839357
28,fixed_time,n1_2,151.80246913580245
28,fixed_time,n1_3,22.1358024691358
28,fixed_time,n2_0,6.319158664837677
28,fixed_time,n2_1,114.99451303155007
28,fixed_time,n2_2,106.98582533150434
28,fixed_time,n2_3,9.333333333333334
28,fixed_time,n3_0,0.0
28,fixed_time,n3_1,50.68510897729004
28,fixed_time,n3_2,45.44444444444444
28,fixed_time,n3_3,0.0
29,fixed_time,n0_0,0.0
29,fixed_time,n0_1,80.0
29,fixed_time,n0_2,80.0
29,fixed_time,n0_3,0.0
29,fixed_time,n1_0,8.0
29,fixed_time,n1_1,181.78448407254993
29,fixed_time,n1_2,183.04054260021337
29,fixed_time,n1_3,11.267489711934155
29,fixed_time,n2_0,2.333333333333333
29,fixed_time,n2_1,113.32784636488341
29,fixed_time,n2_2,112.0
29,fixed_time,n2_3,10.773052888279224
29,fixed_time,n3_0,0.0
29,fixed_time,n3_1,58.68510897729004
29,fixed_time,n3_2,52.88416399939034
29,fixed_time,n3_3,0.0
30,fixed_time,n0_0,0.0
30,fixed_time,n0_1,80.0
30,fixed_time,n0_2,80.0
30,fixed_time,n0_3,0.0
30,fixed_time,n1_0,8.0
30,fixed_time,n1_1,173.46466493928773
30,fixed_time,n1_2,193.7912919778489
30,fixed_time,n1_3,12.680180866737793
30,fixed_time,n2_0,2.3333333333333335
30,fixed_time,n2_1,119.99451303155007
30,fixed_time,n2_2,120.66666666666666
30,fixed_time,n2_3,5.111111111111111
30,fixed_time,n3_0,0.0
30,fixed_time,n3_1,63.35177564395671
30,fixed_time,n3_2,56.32860844383478
30,fixed_time,n3_3,0.0
31,fixed_time,n0_0,0.0
31,fixed_time,n0_1,80.0
31,fixed_time,n0_2,80.0
31,fixed_time,n0_3,0.0
31,fixed_time,n1_0,6.394299649443687
31,fixed_time,n1_1,174.43807685142846
31,fixed_time,n1_2,189.65806364206
31,fixed_time,n1_3,11.263763992616301
31,fixed_time,n2_0,4.0
31,fixed_time,n2_1,125.49626581313825
31,fixed_time,n2_2,142.0
31,fixed_time,n2_3,3.9999999999999996
31,fixed_time,n3_0,0.0
31,fixed_time,n3_1,66.68510897729004
31,fixed_time,n3_2,58.66194177716812
31,fixed_time,n3_3,0.0
32,fixed_time,n0_0,0.0
32,fixed_time,n0_1,64.0
32,fixed_time,n0_2,64.0
32,fixed_time,n0_3,0.0
32,fixed_time,n1_0,22.39429964944369
32,fixed_time,n1_1,180.4380768514285
32,fixed_time,n1_2,167.32473030872666
32,fixed_time,n1_3,19.2637639926163
32,fixed_time,n2_0,20.0
32,fixed_time,n2_1,117.1813747904283
32,fixed_time,n2_2,117.33333333333334
32,fixed_time,n2_3,12.0
32,fixed_time,n3_0,0.0
32,fixed_time,n3_1,56.0
32,fixed_time,n3_2,50.66194177716812
32,fixed_time,n3_3,0.0
33,fixed_time,n0_0,0.0
33,fixed_time,n0_1,48.0
33,fixed_time,n0_2,48.0
33,fixed_time,n0_3,0.0
33,fixed_time,n1_0,38.39429964944369
33,fixed_time,n1_1,184.4380768514285
33,fixed_time,n1_2,165.32473030872666
33,fixed_time,n1_3,27.2637639926163
33,fixed_time,n2_0,36.0
33,fixed_time,n2_1,124.1813747904283
33,fixed_time,n2_2,103.33333333333334
33,fixed_time,n2_3,20.0
33,fixed_time,n3_0,0.0
33,fixed_time,n3_1,48.0
33,fixed_time,n3_2,42.66194177716812
33,fixed_time,n3_3,0.0
34,fixed_time,n0_0,0.0
34,fixed_time,n0_1,32.0
34,fixed_time,n0_2,32.0
34,fixed_time,n0_3,0.0
34,fixed_time,n1_0,54.39429964944369
34,fixed_time,n1_1,193.4380768514285
34,fixed_time,n1_2,162.32473030872666
34,fixed_time,n1_3,35.263763992616305
34,fixed_time,n2_0,52.0
34,fixed_time,n2_1,133.1813747904283
34,fixed_time,n2_2,85.33333333333334
34,fixed_time,n2_3,28.0
34,fixed_time,n3_0,0.0
34,fixed_time,n3_1,40.0
34,fixed_time,n3_2,34.66194177716812
34,fixed_time,n3_3,0.0
35,fixed_time,n0_0,0.0
35,fixed_time,n0_1,16.0
35,fixed_time,n0_2,16.0
35,fixed_time,n0_3,0.0
35,fixed_time,n1_0,70.3942996494437
35,fixed_time,n1_1,201.4380768514285
35,fixed_time,n1_2,151.99139697539331
35,fixed_time,n1_3,43.263763992616305
35,fixed_time,n2_0,68.0
35,fixed_time,n2_1,137.84804145709495
35,fixed_time,n2_2,95.33333333333334
35,fixed_time,n2_3,36.0
35,fixed_time,n3_0,0.0
35,fixed_time,n3_1,32.0
35,fixed_time,n3_2,19.32860844383478
35,fixed_time,n3_3,0.0
36,fixed_time,n0_0,0.0
36,fixed_time,n0_1,8.0
36,fixed_time,n0_2,8.0
36,fixed_time,n0_3,0.0
36,fixed_time,n1_0,80.0
36,fixed_time,n1_1,202.61680976815865
36,fixed_time,n1_2,142.65806364205997
36,fixed_time,n1_3,51.263763992616305
36,fixed_time,n2_0,78.94934715236498
36,fixed_time,n2_1,149.66666666666669
36,fixed_time,n2_2,96.33333333333334
36,fixed_time,n2_3,44.0
36,fixed_time,n3_0,0.0
36,fixed_time,n3_1,18.949347152364986
36,fixed_time,n3_2,9.666666666666666
36,fixed_time,n3_3,0.0
37,fixed_time,n0_0,0.0
37,fixed_time,n0_1,8.0
37,fixed_time,n0_2,8.0
37,fixed_time,n0_3,0.0
37,fixed_time,n1_0,80.0
37,fixed_time,n1_1,209.83903199038087
37,fixed_time,n1_2,138.32473030872666
37,fixed_time,n1_3,59.263763992616305
37,fixed_time,n2_0,80.0
37,fixed_time,n2_1,177.83823604125388
37,fixed_time,n2_2,102.33333333333334
37,fixed_time,n2_3,52.0
37,fixed_time,n3_0,0.0
